"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 1902"																																	
		"n"	"NEW ZEALAND"		"PITT ISLAND (FLOWER POT)"	-44.24	-176.24	8048.013304152397											1										1				
		"n"	"NEW ZEALAND"		"PORANGAHAU"	-40.3	176.61	8781.493768793114											1														
		"n"	"NEW ZEALAND"		"PORT LEVY, BANKS PENINSULA"	-43.651	172.817	8766.4586995361											1														1
		"n"	"NEW ZEALAND"		"POURERERE"	-40.1	176.87	8779.39755128412											1														
		"n"	"NEW ZEALAND"		"PURAU, BANKS PENINSULA"	-43.643	172.746	8771.26429691423											1														1
		"n"	"NEW ZEALAND"		"ROBINSONS BAY, BANKS PENINSULA"	-43.764	172.962	8749.354377645934											1														
		"n"	"NEW ZEALAND"		"SPENCER PARRK (SPENCERVILLE)"	-43.43	172.67	8791.869630568204											1														
		"n"	"NEW ZEALAND"		"SUMNER-REDCLIFFS ROAD, CHRISTCHURCH"	-43.565	172.75	8776.921191480264											1														
		"n"	"NEW ZEALAND"		"TAKAMATUA, BANKS PENINSULA"	-43.783	172.97	8747.449483874741											1													1	
		"n"	"NEW ZEALAND"		"TAYLORS MISTAKE"	-43.584	172.778	8773.827378149696											1										1				
		"n"	"NEW ZEALAND"		"TEDDINGTON, BANKS PENINSULA"	-43.673	172.662	8773.96292190613											1										1				
		"n"	"NEW ZEALAND"		"THE GLEN, BANKS PENINSULA"	-43.815	172.95	8746.221465252243											1														
		"n"	"NEW ZEALAND"		"MERCURY COVE"												3		1														
		"n"	"NEW ZEALAND"		"BANKS PENINSULA"														1														
		"n"	"NEW ZEALAND"		"BAY OF PLENTY"														1														
		"n"	"NEW ZEALAND"		"SULPHUR POINT (TAURANGA HARBOUR)"														1														
		"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	10643.950383241337	23	9	58	14	47				1.46		2	33	"F"												
		"n"	"NEW ZEALAND"	"CANTERBURY"	"LYTTELTON"	-43.6058	172.7222	8775.483582502262	23	8	12	13	1				0.2		2	40													
		"n"	"AUSTRALIA"		"CAMP COVE, SYDNEY HARBOR"	-33.8	151.2667	10804.1716400921									0.18		2		"F"												
		"n"	"AUSTRALIA"		"BRISBANE (TOWN REACH)"	-27.4667	153.0333	11285.606459296077									0.11		2		"R"												
		"n"	"TAIWAN"		"HWA-LIAN HARBOR"	23.9667	121.6167	17893.04235554772	23	19	20	24	9				0.29		2	25	"F"												
		"n"	"RUSSIA"	"KAMCHATKA"	"SEMJACHIK, E KAMCHATKA"	54.117	159.983	15650.41347920714									4		1										1				
		"n"	"RUSSIA"	"KAMCHATKA"	"KRONOTSKY, E KAMCHATKA"	54.59	161.16	15572.394194358978									4	700	1										1				1
		"n"	"RUSSIA"	"KAMCHATKA"	"UST'KAMCHATSK, E KAMCHATKA"	56.37	162.45	15484.083469486372									4		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"NIKOLSKOE, BERING I, COMMANDER I"	55.2	166	15262.112820116461				22	48				3.5		1	30									1				
		"n"	"RUSSIA"	"KAMCHATKA"	"LAVROVA BAY, E KAMCHATKA"	60.4	167.08	15192.382390732038				25	18						1										1				
		"n"	"RUSSIA"	"KAMCHATKA"	"APUKA, E KAMCHATKA"	60.443	169.61	15052.935216043797											1	30													
		"n"	"RUSSIA"	"KAMCHATKA"	"UST'KHAIRYUZOV, W KAMCHATKA"	57.1	156.75	15823.53705681718											1														
		"n"	"RUSSIA"	"KAMCHATKA"	"MEDNY ISLAND,  COMMANDER ISLANDS"	54.5	168.09	15123.980950695031											1														
		"n"	"RUSSIA"		"LOZHNYKH VESTEI INLET,KARAGINSKY I"	59	163.93	15378.967522033006											1	20													
		"n"	"RUSSIA"	"KAMCHATKA"	"OSSORA, E KAMCHATKA"	59.2353	163.0719	15425.81444906466											1														
		"n"	"RUSSIA"		"S KARAGINSKII IS"	58.5	163.5	15407.754336004273				24	48						1	30													
		"n"	"RUSSIA"	"KAMCHATKA"	"OZERNOE, W KAMCHATKA"	51.5	156.517	15892.365078667393										500	1														
		"n"	"RUSSIA"	"KAMCHATKA"	"W KAMCHATKA"	56.18	162.305	15493.94895611858									3		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"CAPE KRUGER, E KAMCHATKA"	56.237	162.519	15480.424223038528									4		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"UST'KAMCHATSK, E KAMCHATKA"	56.37	162.45	15484.083469486372									0.8		2	30													
		"n"	"RUSSIA"	"KAMCHATKA"	"MORZHOVAYA BAY, E KAMCHATKA"	53.23	159.95	15654.886624344443									7		1										1				1
		"n"	"RUSSIA"	"KAMCHATKA"	"CAPE SHIPUNSKII, E KAMCHATKA"	53.1	160.03333	15649.48698483902									3		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"KHALAKTYRKA, E KAMCHATKA"	52.966	158.8167	15731.348746936615									2		1	16													
		"n"	"RUSSIA"	"KAMCHATKA"	"CAPE MAYACHNYI, E KAMCHATKA"	52.89	158.7	15739.399975084012									2		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"PETROPAVLOVSK, E KAMCHATKA"	53.0166	158.65	15742.392211558727				21	30				0.6		2	30													
		"n"	"RUSSIA"	"KAMCHATKA"	"RYBACHII, E KAMCHATKA"	52.92	158.53	15750.748222915174				21	30				0.2		1	22													
		"n"	"RUSSIA"	"KAMCHATKA"	"TARYA INLET, AVACHA BAY,E KAMCHATKA"	52.97	158.45	15755.965162623905				21	36				1		1	30													
		"n"	"RUSSIA"	"KAMCHATKA"	"VILYUCHINSKAYA INLET, E KAMCHATKA"	52.66	158.39	15760.92797830638									5		1	30									1	20	1		
		"n"	"RUSSIA"	"KAMCHATKA"	"RUSSKAYA INLET, E KAMCHATKA"	52.41	158.4	15760.827567971322				21	30				7		1										1				
		"n"	"RUSSIA"	"KAMCHATKA"	"KHODUTKA INLET, E KAMCHATKA"	51.79	158.03	15787.118531058124									3		1														
		"n"	"RUSSIA"	"KAMCHATKA"	"CAPE LOPATKA, E KAMCHATKA"	50.867	156.67	15882.747921850572									2		1	40													
		"n"	"CHILE"	"AYSEN"	"MELINKA"	-43.899	-73.744	639.855807928181											1										1				1
		"n"	"CHILE"	"AYSEN"	"PUERTO AGUIRRE"	-45.165	-73.524	779.9713111520308									3		1														
		"n"	"AUSTRALIA"		"BUNBURY"	-33.3	115.6	12040.140024162736											2														
		"n"	"MAURITIUS"		"MAURITIUS"	-20	57.2	11766.537714865803											2														
		"n"	"SOUTH AFRICA"		"MOSSEL BAY (MOSSELBAAI)"	-34.178611	22.135278	8190.365844166111											2														
		"n"	"NAMIBIA"		"LUDERITZ"	-26.633	15.15	8118.241228033539											2														
		"n"	"BERMUDA (UK TERRITORY)"		"ST. GEORGES"	32.3	-64.8	7849.409804052676									0.03		2														
		"n"	"UK"		"NEWLYN, CORNWALL, ENGLAND"	50.1	-5.5536	11815.445908723812									0.03		2														
		"n"	"CANADA"	"BC"	"VICTORIA, BRITISH COLUMBIA"	48.425	-123.372	10785.40680214605	23	12	58						0.37		2														
		"n"	"CANADA"	"BC"	"FULFORD HARBOUR, BRITISH COLUMBIA"	48.77	-123.45	10819.330988886895									0.15		2														
		"n"	"CANADA"	"BC"	"BARKLEY SOUND"	49	-125.35	10925.672193190345	23	12	22						0.52		2														
		"n"	"CANADA"	"BC"	"SEYMOUR INLET"	51.08	-126.88	11173.863504792003									0.02		2														
		"n"	"CANADA"	"BC"	"ALERT BAY, BRITISH COLUMBIA"	50.58	-126.93	11133.622752169036	23	13	45						0.23		2														
		"n"	"CANADA"	"BC"	"NUGENT SOUND"	51.08	-127.25	11190.63198346346	23	16	3						0.08		2														
		"n"	"CANADA"	"BC"	"BELIZE INLET"	51.12	-127.28	11195.382011870937	23	16	13						0.03		2														
		"n"	"CANADA"	"BC"	"JOHNSON POINT"	51.12	-127.53	11206.757809565246	23	15	40						0.08		2														
		"n"	"CANADA"	"BC"	"MEREWORTH SOUND"	51.18	-127.42	11206.819704677282	23	16	40						0.08		2														
		"n"	"CANADA"	"BC"	"COPPER ISLAND"	52.35	-131.17	11476.594035522858	23	12	47						0.11		2														
		"n"	"CANADA"	"BC"	"KLEMTU"	52.6	-128.52	11375.719890304443	23	13	20						0.2		2														
		"n"	"CANADA"	"BC"	"GRIFFIN PASSAGE"	52.77	-128.35	11382.286881458369	23	13	36						0.22		2														
		"n"	"CANADA"	"BC"	"QUEEN CHARLOTTE ISLANDS, BC"	53	-132	11567.68435914656									2.13		1														
		"n"	"CANADA"	"BC"	"SHIELDS BAY, BRITISH COLUMBIA"	53.35	-132.48	11617.986633144526									2.14		1														
		"n"	"CANADA"	"BC"	"CAULFEILD"	49.33	-123.25	10859.805495184228											2														
		"n"	"USA"	"CA"	"SHELTER ISLAND, SAN DIEGO, CA"	32.712	-117.229	9062.564785676534											1									0.012	1				
		"n"	"USA"	"CA"	"DANA POINT"	33.46	-117.7	9155.98774241527											1										1				
		"n"	"USA"	"OR"	"POINT ADAMS, OR"	46.212	-123.971	10618.205711870974									0.46		1														
		"n"	"USA"	"OR"	"NETARTS BAY"	45.41	-123.93	10545.74834207428											1														
		"n"	"USA"	"OR"	"ASTORIA, COLUMBIA RIVER, OR"	46.19	-123.83	10609.614220099389											1														
		"n"	"USA"	"CA"	"SANTA CRUZ, CA"	36.97	-122.02	9700.540961179424									1.8		1														
		"n"	"USA"	"CA"	"PORT HUENEME, CA"	34.14	-119.19	9295.957622560501									1.8		1														
		"n"	"USA"	"AK"	"EGG ISLAND"	53.86	-166.05	13474.713534335811											1														
		"n"	"CHILE"	"AYSEN"	"CHACABUCO"	-45.48	-72.88	816.0894374610049											1														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"HAAPUPUNI, TAHITI"	-17.53	-149.39	7619.2218457570925									3.4		5										1				
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"FAAUANU"	-17.54	-149.36	7615.974427966733									2.4		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"FAAUANU"	-17.55	-149.34	7613.599041114076									1.9		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"MAHAENA"	-17.57	-149.32	7610.592425930112									1.9		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"HITIAA"	-17.605	-149.3	7606.639428705353									1.3		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"HITIAA"	-17.62	-149.305	7606.128841471355									1.5		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"FAAONE"	-17.69	-149.305	7601.713094635124									1.5		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TARAVAO"	-17.725	-149.305	7599.506153463601									1.9		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PUEU"	-17.74	-149.23	7592.022178720953									1.3		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TAUTIRA"	-17.755	-149.18	7586.71773509248									1.3		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TAUTIRA"	-17.746	-149.16	7585.541157638442									1.4		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TEAHUPOO"	-17.86	-149.25	7586.205721458967									1.5		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TEAHUPOO"	-17.85	-149.26	7587.7070785766355									1.1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"MATITI"	-17.83	-149.283	7590.971494778947									0.9		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PUUNUI"	-17.78	-149.31	7596.475202848525									1.2		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TOAHOTU"	-17.76	-149.32	7598.607395428752									1.2		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"TARAVAO"	-17.73	-149.32	7600.498551440706									1.4		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"MATAIEA"	-17.77	-149.42	7606.693493720609									0.6		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAPARA"	-17.76	-149.52	7616.039491195816									1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"GROTTO MARAA"	-17.74	-149.575	7622.094098592487									2.1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAEA"	-17.71	-149.584	7624.771027720588									1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAEA"	-17.69	-149.585	7626.120164539918									1.1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"MARINA TAHINA"	-17.59	-149.61	7634.612292947347									1.1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAPEETE, TAHITI"	-17.54	-149.57	7634.28378162569									1		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"POINT VENUS"	-17.496	-149.495	7630.525014299087									2.3		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PLAGE DE HITI MAHANA"	-17.5	-149.48	7628.964400312508									2.7		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"ONOHU BEACH"	-17.508	-149.467	7627.325455818676									2.4		5														
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAPEETE, TAHITI"	-17.5331	-149.5726	7634.9463798708975									0.66		2														
		"n"	"JAPAN"	"MIYAGI"	"MIYAGI PREFECTURE"														1			54	2			641	3		2	1411	4	1167	4
		"n"	"JAPAN"	"KOCHI"	"KOCHI PREFECTURE"														1							1	1		2	9	1	38	1
		"n"	"JAPAN"	"OKINAWA"	"OKINAWA ISLAND"														1			3	1						2	1400	4		
		"n"	"SOLOMON ISLANDS"		"HORARA, SANTA ISABEL ISLAND"	-8.39	159.8	12476.557515261593											1										1				
		"n"	"SOLOMON ISLANDS"		"BUALA WHARF, SANTA ISABEL ISLAND"	-8.15	159.6	12511.004302764442	23	13							1.5		1														
		"n"	"SOLOMON ISLANDS"		"CHOISEUL"	-7.083	157	12791.461910988286											1														
		"n"	"SOLOMON ISLANDS"		"LEEWARD COAST, SHORTLAND ISLAND"	-7.07	155.67	12890.074196958396	23	23	30								1														
		"n"	"SOLOMON ISLANDS"		"MBOLIE PASSAGE, FLORIDA ISLANDS"	-9.18	160.23	12380.298725416902											1	15													
		"n"	"SOLOMON ISLANDS"		"FAUABU, NW MALAITA"	-8.57	160.72	12392.935771682725						23	19	0	0.9		1														
		"n"	"SOLOMON ISLANDS"		"GRACIOSA BAY, NENDO, SANTA CRUZ IS"	-10.76	165.8	11831.664790842082	23	13									1										1				
		"n"	"SOLOMON ISLANDS"		"HONIARA, GUADALCANAL"	-9.429	159.955	12380.534747086882											2														
		"n"	"NEW CALEDONIA"		"YATE"	-22.1	166.9	10847.638627770617											1														
		"n"	"NEW CALEDONIA"		"WEST COAST OF NEW CALEDONIA"														1														
		"n"	"NEW CALEDONIA"		"CHALEIX, NOUMEA"	-22.29	166.44	10864.956596933676									0.15		2														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"BUREVESTNIK, ITURUP I., KURILSKIYE"	44.93	147.625	16553.590833177976									2.5		1														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"ITURUP ISLAND, KURILSKIYE"	44.9	147.5	16563.353536016293									1		1														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"YUZHNO-KURIL'SK, KUNASHIR ISLAND"	44.03	145.86	16690.49501705461									2.2		1														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"MALOKURIL'SKAYA BAY, SHIKOTAN"	43.867	146.817	16612.9271989725									4		1														
		"n"	"AUSTRALIA"		"CRONULLA"	-34.0728	151.1474	10785.148483238396	23	12	15			23	18	30	0.69		2	30													
		"n"	"AUSTRALIA"		"FORTY BASKETS BEACH, MANLY"	-33.8	151.271	10803.950027811401									1.2		1	10													
		"n"	"AUSTRALIA"		"BROOKLYN, HAWKESBURY RIVER"				24	0	0						0.5		1	15									1				
		"n"	"AUSTRALIA"		"WAGSTAFFE, BRISBANE WATERS"	-33.52	151.34	10826.177138917443	23	18	0						0.6		1	15									1				
		"n"	"AUSTRALIA"		"SNUG COVE WHARF, EDEN"	-37.072	149.908	10568.372801332394									0.8		1	15									1				
		"n"	"AUSTRALIA"		"THE SPIT"	-33.804	151.246	10804.869575813756	23	18	30						1		1	15									1				
		"n"	"AUSTRALIA"		"BROUGHTON CREEK, BERRY"	-34.78	150.7	10742.503424391403									0.3		1	15													
		"n"	"AUSTRALIA"		"PELICAN INLET, CLYDE RIVER"	-35.702	150.158	10683.896341474767	23	15	0			23	20	30	0.6		1	20									1				
		"n"	"AUSTRALIA"		"THROSBY INLET, NEWCASTLE"	-32.921	151.764	10859.102969152598	23	21	30			23	23	0	0.9		1	20									1				
		"n"	"AUSTRALIA"		"MALUA BAY, BATEMANS BAY"	-35.797	150.234	10671.31232252767	23	23	0						2.7		1	20													
		"n"	"AUSTRALIA"		"SWAN BAY, PORT STEPHENS"	-32.7	151.97	10868.493949678652									0.08		1	30													
		"n"	"AUSTRALIA"		"BATEMANS BAY"	-35.71	150.18	10682.067815280298	23	21	0						0.84		1	30									1				
		"n"	"AUSTRALIA"		"CANNERY WHARF, EDEN"	-37.069	149.902	10568.941444970063									0.9		1	30													
		"n"	"AUSTRALIA"		"MACLEAY RIVER, SOUTH WEST ROCKS"	-30.91	153.02	10974.925715546196	23	22	30			23	22	30	0.15		1	60									1				
		"n"	"AUSTRALIA"		"TWEED HEADS"	-28.2	153.55	11189.903266046049									0.1		1														
		"n"	"AUSTRALIA"		"RICHMOND RIVER, BALLINA"	-28.88	153.55	11128.69824795529	23	21	0						0.15		1														
		"n"	"AUSTRALIA"		"HAT HEAD"	-31.06	153.05	10959.677774696605									0.15		1										1				
		"n"	"AUSTRALIA"		"NEWPORT, PITTWATER"	-33.652	151.302	10815.986062646174									0.2		1														
		"n"	"AUSTRALIA"		"SOUTH WEST ROCKS CREEK"	-30.886	153.03	10976.550983961188									0.23		1														
		"n"	"AUSTRALIA"		"ILUKA"	-29.41	153.35	11092.237485549376									0.3		1														
		"n"	"AUSTRALIA"		"NEWCASTLE HARBOUR, NEWCASTLE"	-32.9236	151.789	10857.549998215685						23	19	0	0.3		1														
		"n"	"AUSTRALIA"		"STATE DOCKYARD, NEWCASTLE"	-32.922	151.775	10858.432924981385									0.38		1														
		"n"	"AUSTRALIA"		"LAURIETON"	-31.65	152.81	10919.239504463721									0.5		1														
		"n"	"AUSTRALIA"		"MOSSY POINT"	-35.84	150.177	10670.117135161612									0.5		1														
		"n"	"AUSTRALIA"		"COFFS HARBOUR"	-30.305	153.144	11022.871477027864	23	13	0			23	21	30	0.6		1														
		"n"	"AUSTRALIA"		"GLEBE ISLAND BRIDGE"	-33.868	151.185	10802.10875637504	23	19	0						0.6		1														
		"n"	"AUSTRALIA"		"PORT MACQUARIE"	-31.425	152.9	10934.777277798452	23	17	30			23	17	30	0.8		1										1				
		"n"	"AUSTRALIA"		"BOBBIN HEAD, HAWKESBURY RIVER"	-33.662	151.162	10822.289070757075	23	23	25						0.86		1										1				
		"n"	"AUSTRALIA"		"GUNNAMATTA BAY, PORT HACKING"	-34.07	151.145	10785.529800221111	23	20	30						1		1										1				
		"n"	"AUSTRALIA"		"EVANS HEAD RIVER"	-29.12	153.42	11114.446720316058	24	4	30			24	4	30	1.2		1										1				
		"n"	"AUSTRALIA"		"WOODY HEAD, ILUKA"	-29.36	153.36	11096.18634351197									1.2		1										1				
		"n"	"AUSTRALIA"		"SHAWS CREEK, SHOALHAVEN RIVER"	-34.902	150.727	10729.844187490226									1.3		1														
		"n"	"AUSTRALIA"		"MIDDLE HARBOUR, SYDNEY HARBOUR"	-33.82	151.27	10802.158520332252									4.3		1														
		"n"	"AUSTRALIA"		"PICNIC POINT, GEORGES RIVER"	-33.976	150.997	10801.786354049322									0.3		1														
		"n"	"AUSTRALIA"		"GREENWELL POINT, SHOALHAVEN RIVER"	-34.91	150.735	10728.700771575233									1.3		1														
		"n"	"AUSTRALIA"		"HEXHAM, HUNTER RIVER"	-32.835	151.71	10869.832133900194											1										1				
		"n"	"AUSTRALIA"		"SWANSEA CHANNEL, LAKE MACQUARIE"	-33.08	151.645	10850.753398486346											1														
		"n"	"AUSTRALIA"		"MANLY BEACH"	-33.793	151.289	10803.667141965032											1														
		"n"	"AUSTRALIA"		"CLONTARF BEACH"	-33.807	151.252	10804.283975359365											1							1	1		1				
		"n"	"AUSTRALIA"		"MCMAHONS POINT, SYDNEY HARBOUR"	-33.847	151.204	10803.067891122859											1														
		"n"	"AUSTRALIA"		"GLEBE"	-33.871	151.178	10802.192002225622											1										1				
		"n"	"AUSTRALIA"		"BALMAIN, IRON COVE"	-33.855	151.17	10804.078875066445											1										1				
		"n"	"AUSTRALIA"		"NORTH CRONULLA BEACH"	-34.049	151.157	10786.852095882376											1							1	1						
		"n"	"AUSTRALIA"		"PORT KEMBLA"	-34.46	150.9	10762.00453985967											1														
		"n"	"AUSTRALIA"		"OFFSHORE, PORT KEMBLA"	-34.5	151.2	10743.04620345486											1														
		"y"	"AUSTRALIA"		"HMAS CRESWELL, JERVIS BAY"	-35.121	150.707	10710.561740536803											1										1				
		"n"	"AUSTRALIA"		"ULLADULLA HARBOUR"	-35.3577	150.476	10700.151164660778	23	21	30								1														
		"n"	"AUSTRALIA"		"OFFSHORE, DURRAS"	-35.67	150.37	10676.40614716858											1										1				
		"n"	"AUSTRALIA"		"NELLIGEN, CLYDE RIVER"	-35.648	150.143	10689.661634463431											1										1				
		"n"	"AUSTRALIA"		"MORUYA RIVER"	-35.91	150.09	10667.873848640058											1														
		"n"	"AUSTRALIA"		"MERIMBULA LAKE"	-36.89	149.92	10584.780842917147											1														
		"n"	"AUSTRALIA"		"TWOFOLD BAY, EDEN"	-37.08	149.9	10568.010840414343	23	21	20								1														
		"n"	"AUSTRALIA"		"BEROWRA CREEK MOUTH"	-33.52	151.16	10835.485787802438	23	15	0								1														
		"n"	"AUSTRALIA"		"RIVERSIDE CARAVAN PARK"	-35.703	150.184	10682.522079787559											1										1				
		"n"	"AUSTRALIA"		"MILSON ISLAND"	-33.517	151.177	10834.88440395111											1	20													
		"n"	"AUSTRALIA"		"BAYVIEW, PITTWATER"	-33.659	151.298	10815.547894432746											1	120													
		"y"	"AUSTRALIA"		"BRUNSWICK HEADS"	-28.5393	153.553	11159.200045313426											1										1				
		"n"	"AUSTRALIA"		"NAMBUCCA HEADS"	-30.65	153	10999.596871722046											1														
		"n"	"AUSTRALIA"		"SCOTTS HEAD"	-30.76	153	10989.625535551197											1														
		"n"	"AUSTRALIA"		"STUARTS POINT"	-30.82	152.995	10984.46140690029											1														
		"n"	"AUSTRALIA"		"MANNING RIVER, OLD BAR"	-31.95	152.59	10903.858894654177	24	2	30			24	2	30			1										1				
		"n"	"AUSTRALIA"		"ULVERSTONE, TASMANIA"	-41.15	146.17	10350.57285623697											1														
		"n"	"CHILE"	"LOS LAGOS"	"LACUY (LACUI), ISLA DE CHILOE"	-41.81	-73.89	409.2455283645151				0	50				15		1														
		"n"	"ARGENTINA"		"BARILOCHE"	-41.14	-71.31	378.2856795101658									5	100	1			3	1						1				
		"n"	"PHILIPPINES"		"SULAT, EASTERN SAMAR"	11.82	125.44	16545.646946128614											1														
		"n"	"PHILIPPINES"		"TAFT, EASTERN SAMAR"	11.9	125.42	16554.437387652608											1														
